Id,Precinct,For,Against,Totals,TabName,CountyOBJECTID,Cnty_Name,Cnty_No,CountyFIPS
508,03-16,866,129,995,Douglas,28,Douglas,28,55
509,03-17,867,220,1087,Douglas,28,Douglas,28,55
510,03-18,872,132,1004,Douglas,28,Douglas,28,55
511,03-19,970,193,1163,Douglas,28,Douglas,28,55
512,03-20,1210,170,1380,Douglas,28,Douglas,28,55
513,03-21,962,171,1133,Douglas,28,Douglas,28,55
514,03-22,427,174,601,Douglas,28,Douglas,28,55
515,03-23,926,214,1140,Douglas,28,Douglas,28,55
516,03-24,786,164,950,Douglas,28,Douglas,28,55
517,03-25,817,207,1024,Douglas,28,Douglas,28,55
518,03-26,868,219,1087,Douglas,28,Douglas,28,55
519,04-01,311,132,443,Douglas,28,Douglas,28,55
520,04-02,585,249,834,Douglas,28,Douglas,28,55
521,04-03,551,178,729,Douglas,28,Douglas,28,55
522,04-04,717,271,988,Douglas,28,Douglas,28,55
523,04-05,975,309,1284,Douglas,28,Douglas,28,55
524,04-06,708,287,995,Douglas,28,Douglas,28,55
525,04-07,545,238,783,Douglas,28,Douglas,28,55
526,04-08,718,293,1011,Douglas,28,Douglas,28,55
527,04-09,389,140,529,Douglas,28,Douglas,28,55
528,04-10,575,227,802,Douglas,28,Douglas,28,55
529,04-11,686,301,987,Douglas,28,Douglas,28,55
530,04-12,700,321,1021,Douglas,28,Douglas,28,55
531,04-13,653,229,882,Douglas,28,Douglas,28,55
532,04-14,354,133,487,Douglas,28,Douglas,28,55
533,04-15,648,241,889,Douglas,28,Douglas,28,55
